SG 553  Ol' Rusty (Field-Tested),$0.02
Tec-9  Groundwater (Field-Tested),$0.02
UMP-45  Briefing (Field-Tested),$0.03
Dual Berettas  Ventilators (Field-Tested),$0.03
P90  Freight (Well-Worn),$0.03
Souvenir P250  Drought (Factory New),$0.03
Souvenir P250  Drought (Factory New),$0.03
PP-Bizon  Night Riot (Field-Tested),$0.04
MP5-SD  Desert Strike (Well-Worn),$0.04
SG 553  Ol' Rusty (Battle-Scarred),$0.04
CZ75-Auto  Distressed (Well-Worn),$0.04
P90  Freight (Well-Worn),$0.04
AUG  Sweeper (Factory New),$0.04
MP7  Prey (Field-Tested),$0.03
XM1014  Slipstream (Field-Tested),$0.04
P90  Freight (Well-Worn),$0.04
XM1014  Slipstream (Field-Tested),$0.04
XM1014  Oxide Blaze (Field-Tested),$0.05
XM1014  Oxide Blaze (Field-Tested),$0.05
P2000  Urban Hazard (Battle-Scarred),$0.05
P2000  Urban Hazard (Battle-Scarred),$0.05
Souvenir P2000  Grassland (Field-Tested),$0.06
Sawed-Off  Forest DDPAT (Factory New),$0.06
PP-Bizon  Night Riot (Well-Worn),$0.06
Souvenir MAC-10  Urban DDPAT (Field-Tested),$0.06
Souvenir MAC-10  Urban DDPAT (Field-Tested),$0.06
Souvenir MAC-10  Urban DDPAT (Field-Tested),$0.06
Souvenir MAC-10  Urban DDPAT (Field-Tested),$0.06
PP-Bizon  Night Ops (Well-Worn),$0.05
P2000  Lifted Spirits (Field-Tested),$0.06
FAMAS  Decommissioned (Field-Tested),$0.05
Five-SeveN  Scumbria (Minimal Wear),$0.06
XM1014  Oxide Blaze (Minimal Wear),$0.05
PP-Bizon  Candy Apple (Field-Tested),$0.06
XM1014  Oxide Blaze (Minimal Wear),$0.05
Souvenir MP9  Old Roots (Factory New),$0.07
MAG-7  Popdog (Minimal Wear),$0.08
StatTrak™ XM1014  Oxide Blaze (Field-Tested),$0.08
StatTrak™ XM1014  Oxide Blaze (Field-Tested),$0.08
StatTrak™ XM1014  Oxide Blaze (Field-Tested),$0.08
MP7  Forest DDPAT (Factory New),$0.08
MP7  Forest DDPAT (Factory New),$0.08
Sawed-Off  Yorick (Field-Tested),$0.08
Tec-9  VariCamo (Well-Worn),$0.08
AUG  Amber Slipstream (Battle-Scarred),$0.08
Tec-9  VariCamo (Well-Worn),$0.08
Nova  Windblown (Field-Tested),$0.07
StatTrak™ XM1014  Oxide Blaze (Battle-Scarred),$0.07
StatTrak™ Sawed-Off  Fubar (Battle-Scarred),$0.07
P250  Valence (Battle-Scarred),$0.08
StatTrak™ MP5-SD  Desert Strike (Field-Tested),$0.08
StatTrak™ PP-Bizon  Runic (Field-Tested),$0.08
StatTrak™ PP-Bizon  Runic (Battle-Scarred),$0.08
P90  Grim (Field-Tested),$0.09
P90  Grim (Field-Tested),$0.10
MP7  Cirrus (Battle-Scarred),$0.09
MP7  Cirrus (Battle-Scarred),$0.09
StatTrak™ MAC-10  Classic Crate (Well-Worn),$0.09
StatTrak™ SG 553  Aloha (Battle-Scarred),$0.09
MAG-7  Popdog (Minimal Wear),$0.09
FAMAS  Cyanospatter (Minimal Wear),$0.09
CZ75-Auto  Framework (Minimal Wear),$0.09
SG 553  Danger Close (Minimal Wear),$0.10
StatTrak™ G3SG1  Orange Crash (Field-Tested),$0.09
StatTrak™ G3SG1  Orange Crash (Field-Tested),$0.09
StatTrak™ G3SG1  Hunter (Field-Tested),$0.09
StatTrak™ G3SG1  Orange Crash (Field-Tested),$0.09
R8 Revolver  Night (Battle-Scarred),$0.10
R8 Revolver  Night (Battle-Scarred),$0.10
G3SG1  Jungle Dashed (Factory New),$0.10
PP-Bizon  Sand Dashed (Factory New),$0.10
Souvenir SCAR-20  Sand Mesh (Field-Tested),$0.11
Souvenir MP5-SD  Lab Rats (Factory New),$0.12
Souvenir SCAR-20  Sand Mesh (Field-Tested),$0.12
Souvenir SCAR-20  Sand Mesh (Field-Tested),$0.12
PP-Bizon  Candy Apple (Factory New),$0.11
StatTrak™ MAC-10  Oceanic (Field-Tested),$0.12
StatTrak™ MAC-10  Oceanic (Field-Tested),$0.12
PP-Bizon  Night Ops (Factory New),$0.11
StatTrak™ MAC-10  Oceanic (Field-Tested),$0.12
StatTrak™ MAC-10  Classic Crate (Field-Tested),$0.11
StatTrak™ MAC-10  Oceanic (Field-Tested),$0.12
FAMAS  Faulty Wiring (Well-Worn),$0.12
SSG 08  Necropos (Battle-Scarred),$0.11
SSG 08  Necropos (Battle-Scarred),$0.11
StatTrak™ MAC-10  Classic Crate (Field-Tested),$0.12
StatTrak™ MP9  Modest Threat (Battle-Scarred),$0.11
StatTrak™ SCAR-20  Jungle Slipstream (Field-Tested),$0.11
StatTrak™ MP9  Modest Threat (Battle-Scarred),$0.11
StatTrak™ SG 553  Danger Close (Well-Worn),$0.14
Nova  Army Sheen (Factory New),$0.13
Nova  Army Sheen (Factory New),$0.13
UMP-45  Oscillator (Minimal Wear),$0.13
UMP-45  Oscillator (Minimal Wear),$0.13
UMP-45  Oscillator (Minimal Wear),$0.13
Glock-18  Clear Polymer (Minimal Wear),$0.14
Glock-18  Clear Polymer (Minimal Wear),$0.14
SG 553  Aloha (Factory New),$0.13
FAMAS  Survivor Z (Field-Tested),$0.14
FAMAS  Survivor Z (Field-Tested),$0.14
FAMAS  Survivor Z (Field-Tested),$0.14
P250  Contaminant (Well-Worn),$0.13
P250  Contaminant (Well-Worn),$0.13
Galil AR  Akoben (Field-Tested),$0.13
SG 553  Ol' Rusty (Factory New),$0.14
Galil AR  Akoben (Battle-Scarred),$0.13
Galil AR  Akoben (Battle-Scarred),$0.13
StatTrak™ MAG-7  Popdog (Battle-Scarred),$0.15
StatTrak™ MAG-7  Popdog (Battle-Scarred),$0.15
StatTrak™ MP7  Akoben (Battle-Scarred),$0.15
StatTrak™ MP7  Akoben (Battle-Scarred),$0.15
StatTrak™ MAC-10  Carnivore (Field-Tested),$0.15
Souvenir Dual Berettas  Oil Change (Factory New),$0.16
UMP-45  Corporal (Minimal Wear),$0.16
StatTrak™ SG 553  Aerial (Field-Tested),$0.15
Glock-18  Clear Polymer (Minimal Wear),$0.15
StatTrak™ Glock-18  Oxide Blaze (Field-Tested),$0.16
Tec-9  Snek-9 (Minimal Wear),$0.16
P2000  Oceanic (Factory New),$0.16
StatTrak™ P2000  Ivory (Field-Tested),$0.15
P90  Ancient Earth (Factory New),$0.15
P90  Ancient Earth (Factory New),$0.15
StatTrak™ MP7  Armor Core (Field-Tested),$0.16
StatTrak™ MP7  Armor Core (Field-Tested),$0.16
StatTrak™ MP7  Armor Core (Field-Tested),$0.16
MP5-SD  Desert Strike (Factory New),$0.18
R8 Revolver  Crimson Web (Minimal Wear),$0.18
StatTrak™ CZ75-Auto  Vendetta (Field-Tested),$0.18
Sawed-Off  Black Sand (Factory New),$0.18
StatTrak™ P2000  Turf (Battle-Scarred),$0.18
Tec-9  Phoenix Chalk (Factory New),$0.18
StatTrak™ MP7  Mischief (Battle-Scarred),$0.17
StatTrak™ P2000  Gnarled (Minimal Wear),$0.17
StatTrak™ MP7  Mischief (Battle-Scarred),$0.17
StatTrak™ MP7  Mischief (Battle-Scarred),$0.17
StatTrak™ Sawed-Off  Spirit Board (Well-Worn),$0.18
StatTrak™ Sawed-Off  Spirit Board (Well-Worn),$0.18
StatTrak™ Sawed-Off  Spirit Board (Well-Worn),$0.18
Souvenir Dual Berettas  Oil Change (Factory New),$0.16
UMP-45  Corporal (Minimal Wear),$0.16
StatTrak™ Glock-18  Oxide Blaze (Field-Tested),$0.16
Tec-9  Snek-9 (Minimal Wear),$0.16
P2000  Oceanic (Factory New),$0.16
